sale_id,sales_channel,revenue,sale_date
110,Wholesale,376.01,2025-08-18
111,Retail,379.85,2025-08-19
112,Wholesale,231.09,2025-08-20
113,Wholesale,402.71,2025-08-21
114,Wholesale,354.42,2025-08-22
115,Wholesale,196.01,2025-08-23
116,Wholesale,164.22,2025-08-24
117,Online,418.56,2025-08-25
118,Retail,483.67,2025-08-26
119,Wholesale,283.26,2025-08-27
120,Wholesale,336.39,2025-08-28
121,Retail,443.09,2025-08-29
122,Wholesale,282.89,2025-08-30
123,Retail,480.75,2025-08-31
124,Online,330.3,2025-09-01
125,Wholesale,428.31,2025-09-02
126,Wholesale,463.54,2025-09-03
127,Online,426.21,2025-09-04
128,Wholesale,163.77,2025-09-05
129,Online,351.56,2025-09-06
130,Online,259.37,2025-09-07
131,Wholesale,125.09,2025-09-08
132,Online,269.61,2025-09-09
133,Wholesale,203.47,2025-09-10
134,Wholesale,439.62,2025-09-11
135,Wholesale,113.32,2025-09-12
136,Online,483.59,2025-09-13
137,Online,242.15,2025-09-14
138,Online,242.68,2025-09-15
139,Retail,106.53,2025-09-16
140,Wholesale,174.09,2025-09-17
141,Online,260.5,2025-09-18
142,Retail,471.72,2025-09-19
143,Wholesale,139.85,2025-09-20
144,Wholesale,478.12,2025-09-21
145,Wholesale,447.8,2025-09-22
146,Retail,281.66,2025-09-23
147,Online,230.68,2025-09-24
148,Online,193.1,2025-09-25
149,Online,345.79,2025-09-26
150,Online,113.23,2025-09-27
151,Wholesale,106.24,2025-09-28
152,Wholesale,271.52,2025-09-29
153,Online,127.23,2025-09-30
154,Online,200.78,2025-10-01
155,Online,188.46,2025-10-02
156,Retail,201.28,2025-10-03
157,Wholesale,152.42,2025-10-04
158,Online,104.81,2025-10-05
159,Online,146.19,2025-10-06
160,Retail,347.39,2025-10-07
161,Online,489.7,2025-10-08
162,Wholesale,496.14,2025-10-09
163,Retail,263.62,2025-10-10
164,Retail,165.18,2025-10-11
165,Retail,355.5,2025-10-12
166,Online,296.12,2025-10-13
167,Online,495.76,2025-10-14
168,Online,126.12,2025-10-15
169,Retail,413.29,2025-10-16
170,Retail,215.36,2025-10-17
171,Wholesale,196.57,2025-10-18
172,Retail,365.0,2025-10-19
173,Online,198.43,2025-10-20
174,Online,366.34,2025-10-21
175,Retail,306.92,2025-10-22
176,Wholesale,269.64,2025-10-23
177,Retail,321.88,2025-10-24
178,Retail,214.82,2025-10-25
179,Retail,382.63,2025-10-26
180,Online,265.94,2025-10-27
181,Online,244.22,2025-10-28
182,Online,431.46,2025-10-29
183,Retail,469.99,2025-10-30
184,Wholesale,118.4,2025-10-31
185,Retail,193.05,2025-11-01
186,Retail,239.41,2025-11-02
187,Online,425.99,2025-11-03
188,Online,494.2,2025-11-04
189,Retail,487.59,2025-11-05
190,Wholesale,461.98,2025-11-06
191,Online,218.62,2025-11-07
192,Wholesale,496.8,2025-11-08
193,Wholesale,199.77,2025-11-09
194,Retail,142.36,2025-11-10
195,Retail,480.38,2025-11-11
196,Retail,193.37,2025-11-12
197,Wholesale,375.91,2025-11-13
198,Online,123.34,2025-11-14
199,Online,392.28,2025-11-15
200,Retail,452.69,2025-11-16
201,Online,208.97,2025-11-17
202,Wholesale,251.62,2025-11-18
203,Wholesale,249.72,2025-11-19
204,Online,399.52,2025-11-20
205,Wholesale,195.12,2025-11-21
206,Wholesale,168.74,2025-11-22
207,Wholesale,279.72,2025-11-23
208,Retail,221.79,2025-11-24
209,Retail,435.68,2025-11-25
210,Online,195.1,2025-11-26
211,Online,300.96,2025-11-27
212,Online,477.03,2025-11-28
213,Wholesale,353.6,2025-11-29
214,Wholesale,446.92,2025-11-30
215,Retail,476.08,2025-12-01
216,Retail,400.31,2025-12-02
217,Online,379.83,2025-12-03
218,Online,487.19,2025-12-04
219,Wholesale,497.76,2025-12-05
220,Retail,280.73,2025-12-06
221,Retail,128.35,2025-12-07
222,Wholesale,217.12,2025-12-08
223,Online,160.94,2025-12-09
224,Retail,266.99,2025-12-10
225,Retail,152.52,2025-12-11
226,Retail,341.65,2025-12-12
227,Retail,253.12,2025-12-13
228,Retail,458.15,2025-12-14
229,Wholesale,487.12,2025-12-15
230,Wholesale,318.75,2025-12-16
231,Wholesale,209.93,2025-12-17
232,Online,336.89,2025-12-18
233,Retail,458.7,2025-12-19
234,Wholesale,262.69,2025-12-20
235,Retail,320.83,2025-12-21
236,Retail,208.66,2025-12-22
237,Retail,282.18,2025-12-23
238,Retail,260.69,2025-12-24
239,Online,199.37,2025-12-25
240,Wholesale,302.35,2025-12-26
241,Wholesale,224.15,2025-12-27
242,Online,249.21,2025-12-28
243,Retail,309.99,2025-12-29
244,Retail,400.24,2025-12-30
245,Online,233.4,2025-12-31
246,Online,469.66,2026-01-01
247,Online,444.93,2026-01-02
248,Wholesale,119.48,2026-01-03
249,Retail,201.46,2026-01-04
250,Wholesale,278.45,2026-01-05
251,Retail,141.85,2026-01-06
252,Wholesale,239.39,2026-01-07
253,Online,396.04,2026-01-08
254,Wholesale,372.21,2026-01-09
255,Online,348.95,2026-01-10
256,Retail,384.21,2026-01-11
257,Retail,181.97,2026-01-12
258,Retail,236.68,2026-01-13
259,Online,370.5,2026-01-14
260,Online,451.69,2026-01-15
261,Online,317.47,2026-01-16
262,Online,213.08,2026-01-17
263,Online,112.09,2026-01-18
264,Online,384.13,2026-01-19
265,Retail,103.15,2026-01-20
266,Online,249.07,2026-01-21
267,Wholesale,312.21,2026-01-22
268,Wholesale,468.84,2026-01-23
269,Retail,135.8,2026-01-24
270,Retail,262.38,2026-01-25
271,Retail,109.73,2026-01-26
272,Wholesale,237.04,2026-01-27
273,Retail,348.89,2026-01-28
274,Retail,211.63,2026-01-29
275,Online,183.9,2026-01-30
276,Retail,146.28,2026-01-31
277,Wholesale,330.86,2026-02-01
278,Retail,378.11,2026-02-02
279,Retail,368.78,2026-02-03
280,Online,479.54,2026-02-04
281,Online,101.08,2026-02-05
282,Retail,358.88,2026-02-06
283,Retail,340.16,2026-02-07
284,Wholesale,335.5,2026-02-08
285,Retail,485.11,2026-02-09
286,Wholesale,106.75,2026-02-10
287,Wholesale,378.59,2026-02-11
288,Retail,425.47,2026-02-12
289,Wholesale,303.92,2026-02-13
290,Wholesale,233.59,2026-02-14
291,Online,416.34,2026-02-15
292,Retail,138.9,2026-02-16
293,Retail,276.81,2026-02-17
294,Retail,307.98,2026-02-18
295,Wholesale,377.58,2026-02-19
296,Retail,136.35,2026-02-20
297,Retail,191.1,2026-02-21
298,Retail,264.12,2026-02-22
299,Wholesale,349.32,2026-02-23
300,Online,454.78,2026-02-24
301,Retail,347.53,2026-02-25
302,Online,153.38,2026-02-26
303,Retail,492.23,2026-02-27
304,Retail,448.71,2026-02-28
305,Wholesale,301.09,2026-03-01
306,Online,468.94,2026-03-02
307,Wholesale,316.55,2026-03-03
308,Online,469.32,2026-03-04
309,Wholesale,431.96,2026-03-05
310,Online,487.31,2026-03-06
311,Wholesale,467.91,2026-03-07
312,Online,114.41,2026-03-08
313,Online,169.91,2026-03-09
314,Online,255.65,2026-03-10
315,Online,480.86,2026-03-11
316,Retail,220.01,2026-03-12
317,Wholesale,164.19,2026-03-13
318,Online,454.52,2026-03-14
319,Online,278.56,2026-03-15
320,Retail,463.15,2026-03-16
321,Wholesale,164.09,2026-03-17
322,Retail,364.45,2026-03-18
323,Online,276.11,2026-03-19
324,Online,130.59,2026-03-20
325,Online,378.59,2026-03-21
326,Online,198.96,2026-03-22
327,Online,115.85,2026-03-23
328,Retail,123.98,2026-03-24
329,Online,124.43,2026-03-25
330,Wholesale,463.09,2026-03-26
331,Wholesale,395.95,2026-03-27
332,Wholesale,459.22,2026-03-28
333,Online,369.03,2026-03-29
334,Online,311.58,2026-03-30
335,Wholesale,221.78,2026-03-31
336,Online,499.18,2026-04-01
337,Wholesale,244.88,2026-04-02
338,Wholesale,288.26,2026-04-03
339,Online,251.3,2026-04-04
340,Retail,491.81,2026-04-05
341,Retail,169.86,2026-04-06
342,Retail,231.2,2026-04-07
343,Online,372.14,2026-04-08
344,Online,125.28,2026-04-09
345,Retail,342.9,2026-04-10
346,Online,291.06,2026-04-11
347,Online,213.6,2026-04-12
348,Retail,195.37,2026-04-13
349,Wholesale,305.81,2026-04-14
350,Wholesale,247.17,2026-04-15
351,Online,282.61,2026-04-16
352,Wholesale,234.99,2026-04-17
353,Retail,488.2,2026-04-18
354,Retail,153.38,2026-04-19
355,Wholesale,138.72,2026-04-20
356,Retail,237.36,2026-04-21
357,Wholesale,336.41,2026-04-22
358,Wholesale,363.67,2026-04-23
359,Retail,258.9,2026-04-24
360,Wholesale,499.71,2026-04-25
361,Online,240.76,2026-04-26
362,Online,388.56,2026-04-27
363,Wholesale,355.03,2026-04-28
364,Retail,425.22,2026-04-29
365,Retail,490.49,2026-04-30
366,Wholesale,455.92,2026-05-01
367,Wholesale,405.82,2026-05-02
368,Retail,379.3,2026-05-03
369,Online,234.2,2026-05-04
370,Wholesale,159.07,2026-05-05
371,Online,125.05,2026-05-06
372,Wholesale,196.76,2026-05-07
373,Online,272.91,2026-05-08
374,Wholesale,308.8,2026-05-09
375,Retail,409.23,2026-05-10
